domain,tld,length,vowel_ratio,has_number,tld_score,keyword_score,brand_score,price,tier
bazaar.co.in,.co.in,6,0.5,0,0.6,0.5052,0.7195,369500,medium
global.dev,.dev,6,0.3333,0,0.7,0.5023,0.596,546000,medium
digivy.io,.io,6,0.3333,0,0.85,0.4677,0.6017,1001500,medium
blogji.org,.org,6,0.3333,0,0.58,0.1268,0.5125,123500,low
qodevna.io,.io,7,0.4286,0,0.85,0.7054,0.704,879500,medium
devwyxena.in,.in,9,0.3333,0,0.9,0.5392,0.6004,1322000,medium
leshamovin.xyz,.xyz,10,0.4,0,0.3,0.3436,0.5111,152000,low
invest.com,.com,6,0.3333,0,1.0,0.8783,0.8842,52349000,high
leteca.tech,.tech,6,0.5,0,0.55,0.6762,0.6127,595500,medium
unlab.dev,.dev,5,0.4,0,0.7,0.7102,0.6461,272500,medium
zamedia.com,.com,7,0.5714,0,1.0,0.5605,0.5836,820000,medium
krifo.net,.net,5,0.4,0,0.65,0.5176,0.6884,995500,medium
dahq.com,.com,4,0.25,0,1.0,0.6571,0.6023,1039500,medium
sanhotel.site,.site,8,0.375,0,0.2,0.1925,0.4744,90000,low
news84.net,.net,6,0.1667,1,0.65,0.0781,0.4837,52000,low
shaonline.online,.online,9,0.4444,0,0.25,0.1174,0.466,44500,low
rajservice.site,.site,10,0.4,0,0.2,0.0305,0.5504,114500,low
home.dev,.dev,4,0.5,0,0.7,0.4744,0.6231,772000,medium
dev.com,.com,3,0.3333,0,1.0,0.8713,0.8582,22609500,high
loveservice.xyz,.xyz,11,0.4545,0,0.3,0.2817,0.3617,57500,low
hotel.xyz,.xyz,5,0.4,0,0.3,0.0953,0.5942,137000,low
mevily.com,.com,6,0.3333,0,1.0,0.8727,0.8496,34203500,high
ipo.com,.com,3,0.6667,0,1.0,0.7107,0.5565,793500,medium
bhameturada.in,.in,11,0.4545,0,0.9,0.4289,0.5905,505500,medium
foqoworldomzone.info,.info,15,0.4,0,0.18,0.0458,0.4436,24000,low
vyonline.co.in,.co.in,8,0.375,0,0.6,0.139,0.5502,56500,low
shaflow.app,.app,7,0.2857,0,0.75,0.5777,0.7109,688000,medium
axsoft.tech,.tech,6,0.3333,0,0.55,0.6664,0.6119,458000,medium
art.in,.in,3,0.3333,0,0.9,0.064,0.6434,149000,low
smart86.com,.com,7,0.1429,1,1.0,0.9956,0.7208,24261500,high
lekrizone.xyz,.xyz,9,0.4444,0,0.3,0.1123,0.3819,37500,low
pedevzone.site,.site,9,0.4444,0,0.2,0.1819,0.3961,37000,low
jikopraomlepra.in,.in,14,0.4286,0,0.9,0.2167,0.312,70000,low
besthuri.biz,.biz,8,0.375,0,0.15,0.0339,0.5749,56000,low
myzafo.tech,.tech,6,0.3333,0,0.55,0.5007,0.6338,745500,medium
qoshanapeko.biz,.biz,11,0.4545,0,0.15,0.0734,0.3389,94500,low
me.io,.io,2,0.5,0,0.85,0.9995,0.9488,50637500,high
cloudez.com,.com,7,0.4286,0,1.0,0.5443,0.6284,567000,medium
rashakti.io,.io,8,0.375,0,0.85,0.72,0.6276,922500,medium
seva.io,.io,4,0.5,0,0.85,1.0,0.7882,3780500,high
xeswadesh.in,.in,9,0.3333,0,0.9,0.6688,0.5947,377000,medium
